casistica;descrizione_casistica;cosa_fare;url_prodotto;title;categorie_assegnate;primaria_attuale_in_yoast;primaria_da_impostare;percorso_finale_atteso;url_primaria_da_impostare;percorso_visibile_oggi;regola_applicata;note
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-bilancia-digitale-con-decoro-fiori-scatola-inclusa/;Bomboniera Bilancia digitale Con Decoro Fiori e Inclusa;Bomboniere Anniversario di Matrimonio Utili e Personalizzate | Bomboniere Matrimonio Eleganti, Utili e Originali;(nessuna);Bomboniere Anniversario di Matrimonio Utili e Personalizzate;Bomboniere e Confettate Anniversario > Bomboniere Anniversario di Matrimonio Utili e Personalizzate;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-anniversario/bomboniere-anniversario-matrimonio/;Bomboniere Anniversario di Matrimonio Utili e Personalizzate;multievento (Anniversario, Matrimonio) -> tema/tipologia;multievento senza categoria tema/tipologia assegnata: valutare di assegnarne una
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-carillon-musicale-girevole-in-porcellana-scatola-inclusa/;Bomboniera Carillon Musicale Girevole in Porcellana;Bomboniere Battesimo Personalizzate | Idee Regalo Originali e Artigianali;(nessuna);Bomboniere Battesimo Personalizzate;Bomboniere e Confettate Nascita e Battesimo > Bomboniere Battesimo Personalizzate;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-nascita-battesimo/bomboniere-nascita-e-battesimo/;Complementi d’arredo e idee regalo artigianali > Idee Regalo Originali e Artigianali;evento singolo (Battesimo) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-compleanno-croce-tau-sacra-famiglia-in-legno/;Bomboniera Compleanno Croce Tau Sacra Famiglia in Legno;Bomboniere Compleanno;(nessuna);Bomboniere Compleanno;Bomboniere e Confettate Compleanno > Bomboniere Compleanno;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-compleanno/bomboniere-compleanno-personalizzate/;Bomboniere Compleanno;evento singolo (Compleanno) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-confettata-laurea-tubetto-portaconfetti-in-vetro-con-gufetto-resina-tema-laurea/;Bomboniera Confettata Laurea Tubetto Portaconfetti con Gufo;Confettate Segnaposto per Laurea;(nessuna);Confettate Segnaposto per Laurea;Bomboniere e Confettate Laurea > Confettate Segnaposto per Laurea;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-laurea/laurea-confettate-segnaposto/;Confettate Segnaposto per Laurea;evento singolo (Laurea) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-cresima-carillon-albero-della-vita-con-icona-cuore-mitra/;Bomboniera Cresima Carillon Albero della Vita;Bomboniere Cresima Personalizzate, Utili e Moderne | Bomboniere Religiose e Sacre;(nessuna);Bomboniere Cresima Personalizzate, Utili e Moderne;Bomboniere e Confettate Cresima > Bomboniere Cresima Personalizzate, Utili e Moderne;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-cresima/bomboniere-cresima/;Bomboniere per tema > Bomboniere Religiose e Sacre;evento singolo (Cresima) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-cresima-icona-sacra-placca-in-argento-laminato-mitra-vescovo/;Bomboniera Cresima Mitra Vescovo | Albalù;Bomboniere Cresima Personalizzate, Utili e Moderne | Bomboniere Religiose e Sacre;(nessuna);Bomboniere Cresima Personalizzate, Utili e Moderne;Bomboniere e Confettate Cresima > Bomboniere Cresima Personalizzate, Utili e Moderne;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-cresima/bomboniere-cresima/;Bomboniere per tema > Bomboniere Religiose e Sacre;evento singolo (Cresima) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-cresima-piantina-grassa-vasetto-personalizzabile/;Bomboniera Cresima Piantina Grassa Vasetto Personalizzabile;Bomboniere Cresima Personalizzate, Utili e Moderne | Bomboniere Piante Grasse Personalizzabili;(nessuna);Bomboniere Cresima Personalizzate, Utili e Moderne;Bomboniere e Confettate Cresima > Bomboniere Cresima Personalizzate, Utili e Moderne;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-cresima/bomboniere-cresima/;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere con Piante Grasse Vere Confezionate;evento singolo (Cresima) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-cresima-profumatore-albero-della-vita-in-legno-con-applicazione/;Bomboniera Cresima Profumatore Albero della Vita in Legno;Bomboniere Cresima Personalizzate, Utili e Moderne | Bomboniere Profumatori Ambienti Personalizzati;(nessuna);Bomboniere Cresima Personalizzate, Utili e Moderne;Bomboniere e Confettate Cresima > Bomboniere Cresima Personalizzate, Utili e Moderne;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-cresima/bomboniere-cresima/;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere Profumatori Ambienti Personalizzati;evento singolo (Cresima) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-giostrina-in-legno-con-coniglietti-colorati-ideale-come-segnaposto-o-mini-bomboniera/;Bomboniera Giostrina in Legno Nascita e Battesimo;Bomboniere Battesimo Personalizzate;(nessuna);Bomboniere Battesimo Personalizzate;Bomboniere e Confettate Nascita e Battesimo > Bomboniere Battesimo Personalizzate;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-nascita-battesimo/bomboniere-nascita-e-battesimo/;Bomboniere Battesimo Personalizzate;evento singolo (Battesimo) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-laurea-lampada-esagonale-cuore/;Bomboniera Laurea Lampada Cuore Personalizzabile | Albalù;Bomboniere Laurea;(nessuna);Bomboniere Laurea;Bomboniere e Confettate Laurea > Bomboniere Laurea;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-laurea/bomboniere-laurea/;Bomboniere Laurea;evento singolo (Laurea) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-laurea-magnete-gufo-e-mappamondo-in-resina/;Magnete Laurea Gufo e Mappamondo | Albalù;Confettate Segnaposto per Laurea;(nessuna);Confettate Segnaposto per Laurea;Bomboniere e Confettate Laurea > Confettate Segnaposto per Laurea;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-laurea/laurea-confettate-segnaposto/;Confettate Segnaposto per Laurea;evento singolo (Laurea) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-laurea-portachiavi-gufo-in-legno-colorati-ideali-come-confettata/;Bomboniera Laurea Portachiavi Gufo in legno Colorati;Confettate Segnaposto per Laurea;(nessuna);Confettate Segnaposto per Laurea;Bomboniere e Confettate Laurea > Confettate Segnaposto per Laurea;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-laurea/laurea-confettate-segnaposto/;Confettate Segnaposto per Laurea;evento singolo (Laurea) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-laurea-profumatore-gufo-la-mia-laurea/;Profumatore Laurea Gufo in Vetro | Albalù;Bomboniere Laurea;(nessuna);Bomboniere Laurea;Bomboniere e Confettate Laurea > Bomboniere Laurea;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-laurea/bomboniere-laurea/;Bomboniere Laurea;evento singolo (Laurea) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-matrimonio-portafoto-clip-sposi-in-resina-decorata/;Bomboniera Matrimonio portafoto Clip Sposi Decorata;Bomboniere Matrimonio Eleganti, Utili e Originali | Segnaposto e Confettata Matrimonio Personalizzati;(nessuna);Bomboniere Matrimonio Eleganti, Utili e Originali;Bomboniere e Confettate Matrimonio > Bomboniere Matrimonio Eleganti, Utili e Originali;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-matrimonio/bomboniere-matrimonio/;Bomboniere Matrimonio Eleganti, Utili e Originali;evento singolo (Matrimonio) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-orologio-cane-in-legno-verniciato-bimbo-rosa-o-celeste-made-in-italy/;Bomboniera Battesimo Orologio Cane Bimbo Rosa o Celeste;Bomboniere Compleanno | Bomboniere Battesimo Personalizzate | Bomboniere tema animali per ogni occasione | Complementi d’arredo e idee regalo artigianali;(nessuna);Bomboniere tema animali per ogni occasione;Bomboniere per tema > Bomboniere tema animali per ogni occasione;https://www.albalu.it/categoria-prodotto/bomboniere-per-tema/bomboniere-tema-animali/;Bomboniere per tema > Bomboniere tema animali per ogni occasione;multievento (Battesimo, Compleanno) -> tema/tipologia;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-orologio-coppia-sposi-matrimonio-sagomato-bianco-in-legno/;Bomboniera Orologio Coppia Sposi Matrimonio Bianco in Legno;Bomboniere Anniversario di Matrimonio Utili e Personalizzate | Bomboniere Matrimonio Eleganti, Utili e Originali;(nessuna);Bomboniere Anniversario di Matrimonio Utili e Personalizzate;Bomboniere e Confettate Anniversario > Bomboniere Anniversario di Matrimonio Utili e Personalizzate;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-anniversario/bomboniere-anniversario-matrimonio/;Bomboniere Anniversario di Matrimonio Utili e Personalizzate;multievento (Anniversario, Matrimonio) -> tema/tipologia;multievento senza categoria tema/tipologia assegnata: valutare di assegnarne una
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-orologio-gufo-laurea-in-legno-scatola-inclusa/;Bomboniera Orologio Gufo Laurea in Legno Scatola inclusa;Bomboniere Laurea;(nessuna);Bomboniere Laurea;Bomboniere e Confettate Laurea > Bomboniere Laurea;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-laurea/bomboniere-laurea/;Bomboniere Laurea;evento singolo (Laurea) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-orologio-in-legno-tortora-con-applicazione-cresima-in-resina-colorata/;Bomboniera Orologio Albero della Vita Tortora Cresima;Bomboniere Cresima Personalizzate, Utili e Moderne;(nessuna);Bomboniere Cresima Personalizzate, Utili e Moderne;Bomboniere e Confettate Cresima > Bomboniere Cresima Personalizzate, Utili e Moderne;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-cresima/bomboniere-cresima/;Bomboniere Cresima Personalizzate, Utili e Moderne;evento singolo (Cresima) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-orologio-orsetto-legno-battesimo-made-in-italy/;Bomboniera Orologio Orsetto in Legno Battesimo Bimbo o Bimba;Bomboniere Compleanno | Bomboniere Battesimo Personalizzate | Bomboniere tema animali per ogni occasione | Complementi d’arredo e idee regalo artigianali;(nessuna);Bomboniere tema animali per ogni occasione;Bomboniere per tema > Bomboniere tema animali per ogni occasione;https://www.albalu.it/categoria-prodotto/bomboniere-per-tema/bomboniere-tema-animali/;Bomboniere per tema > Bomboniere tema animali per ogni occasione;multievento (Battesimo, Compleanno) -> tema/tipologia;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-orologio-unicorno-da-appoggio-in-legno-verniciato/;Bomboniera Orologio Unicorno da Appoggio in Legno Verniciato;Bomboniere Compleanno | Bomboniere Battesimo Personalizzate | Bomboniere tema animali per ogni occasione | Complementi d’arredo e idee regalo artigianali;(nessuna);Bomboniere tema animali per ogni occasione;Bomboniere per tema > Bomboniere tema animali per ogni occasione;https://www.albalu.it/categoria-prodotto/bomboniere-per-tema/bomboniere-tema-animali/;Bomboniere per tema > Bomboniere tema animali per ogni occasione;multievento (Battesimo, Compleanno) -> tema/tipologia;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-pianta-grassa-matrimonio-sacco-juta-e-applicazioni-in-legno/;Bomboniera Pianta Grassa Matrimonio Sacco Juta e Sposi Legno;Bomboniere Matrimonio Eleganti, Utili e Originali | Bomboniere Piante Grasse Personalizzabili | Complementi d’arredo e idee regalo artigianali;(nessuna);Bomboniere Matrimonio Eleganti, Utili e Originali;Bomboniere e Confettate Matrimonio > Bomboniere Matrimonio Eleganti, Utili e Originali;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-matrimonio/bomboniere-matrimonio/;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere con Piante Grasse Vere Confezionate;evento singolo (Matrimonio) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-piantina-grassa-laurea-con-vasetto-e-decorazioni-sacchetto-in-juta-e-gufo-laurea/;Bomboniera Piantina Grassa Laurea in Juta e Gufo;Bomboniere Laurea | Bomboniere Piante Grasse Personalizzabili;(nessuna);Bomboniere Laurea;Bomboniere e Confettate Laurea > Bomboniere Laurea;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-laurea/bomboniere-laurea/;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere con Piante Grasse Vere Confezionate;evento singolo (Laurea) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-portafoto-clip-animaletti-nascita-battesimo/;Bomboniera Portafoto Clip Animaletti Nascita e Battesimo;Bomboniere Compleanno | Compleanno Confettate Segnaposto | Bomboniere Battesimo Personalizzate | Segnaposto e Confettate Battesimo | Bomboniere tema animali per ogni occasione | Bomboniere Portafoto Personalizzabili;(nessuna);Bomboniere tema animali per ogni occasione;Bomboniere per tema > Bomboniere tema animali per ogni occasione;https://www.albalu.it/categoria-prodotto/bomboniere-per-tema/bomboniere-tema-animali/;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere Portafoto Personalizzabili;multievento (Battesimo, Compleanno) -> tema/tipologia;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-portafoto-con-orsetto/;Portafoto Bomboniera Battesimo Orsetto | Albalù;Bomboniere Battesimo Personalizzate | Bomboniere tema animali per ogni occasione | Bomboniere Portafoto Personalizzabili;(nessuna);Bomboniere Battesimo Personalizzate;Bomboniere e Confettate Nascita e Battesimo > Bomboniere Battesimo Personalizzate;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-nascita-battesimo/bomboniere-nascita-e-battesimo/;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere Portafoto Personalizzabili;evento singolo (Battesimo) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-portafoto-elefanti-personalizzati/;Bomboniera Portafoto Elefanti Personalizzati;Bomboniere Battesimo Personalizzate | Bomboniere tema animali per ogni occasione | Bomboniere Portafoto Personalizzabili;(nessuna);Bomboniere Battesimo Personalizzate;Bomboniere e Confettate Nascita e Battesimo > Bomboniere Battesimo Personalizzate;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-nascita-battesimo/bomboniere-nascita-e-battesimo/;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere Portafoto Personalizzabili;evento singolo (Battesimo) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-portafoto-mongolfiera/;Portafoto Bomboniera Mongolfiera | Albalù;Bomboniere Battesimo Personalizzate | Bomboniere tema viaggio | Bomboniere Portafoto Personalizzabili;(nessuna);Bomboniere Battesimo Personalizzate;Bomboniere e Confettate Nascita e Battesimo > Bomboniere Battesimo Personalizzate;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-nascita-battesimo/bomboniere-nascita-e-battesimo/;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere Portafoto Personalizzabili;evento singolo (Battesimo) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-portafoto-orsetto/;Bomboniera Portafoto Orsetto Nascita Battesimo;Bomboniere Battesimo Personalizzate | Bomboniere tema animali per ogni occasione | Bomboniere Portafoto Personalizzabili;(nessuna);Bomboniere Battesimo Personalizzate;Bomboniere e Confettate Nascita e Battesimo > Bomboniere Battesimo Personalizzate;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-nascita-battesimo/bomboniere-nascita-e-battesimo/;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere Portafoto Personalizzabili;evento singolo (Battesimo) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-portafoto-safari/;Portafoto Bomboniera Safari Battesimo | Albalù;Bomboniere Battesimo Maschio | Bomboniere Battesimo Personalizzate | Bomboniere tema animali per ogni occasione | Bomboniere Portafoto Personalizzabili;(nessuna);Bomboniere Battesimo Maschio;Bomboniere e Confettate Nascita e Battesimo > Bomboniere Battesimo Maschio;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-nascita-battesimo/bomboniere-battesimo-maschio/;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere Portafoto Personalizzabili;evento singolo (Battesimo) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-profumatore-anniversario-matrimonio-a-forma-di-cuore-in-resina-colorata-con-applicazione-in-legno-25-e-50/;Bomboniera Profumatore Anniversario Matrimonio Cuore in Resina;Bomboniere Anniversario di Matrimonio Utili e Personalizzate;(nessuna);Bomboniere Anniversario di Matrimonio Utili e Personalizzate;Bomboniere e Confettate Anniversario > Bomboniere Anniversario di Matrimonio Utili e Personalizzate;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-anniversario/bomboniere-anniversario-matrimonio/;Bomboniere Anniversario di Matrimonio Utili e Personalizzate;evento singolo (Anniversario) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-profumatore-con-elefante/;Bomboniera Profumatore con Elefante;Bomboniere Battesimo Personalizzate | Bomboniere tema animali per ogni occasione | Bomboniere Profumatori Ambienti Personalizzati;(nessuna);Bomboniere Battesimo Personalizzate;Bomboniere e Confettate Nascita e Battesimo > Bomboniere Battesimo Personalizzate;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-nascita-battesimo/bomboniere-nascita-e-battesimo/;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere Profumatori Ambienti Personalizzati;evento singolo (Battesimo) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-profumatore-cresima/;Bomboniera Profumatore Cresima;Bomboniere Cresima Personalizzate, Utili e Moderne | Bomboniere per tema | Bomboniere Profumatori Ambienti Personalizzati;(nessuna);Bomboniere Cresima Personalizzate, Utili e Moderne;Bomboniere e Confettate Cresima > Bomboniere Cresima Personalizzate, Utili e Moderne;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-cresima/bomboniere-cresima/;Bomboniere per Tipologia: Portafoto, Profumatori, Orologi > Bomboniere Profumatori Ambienti Personalizzati;evento singolo (Cresima) -> categoria evento;
A;A - primaria non impostata (Yoast non stampa nessuna categoria);impostare la categoria primaria;https://www.albalu.it/prodotto/bomboniera-quadretto-tema-positano-con-piastrella-e-da-appogigo/;Bomboniera Quadretto Tema Positano con Piastrella e da appogigo;Bomboniere Anniversario di Matrimonio Utili e Personalizzate | Bomboniere Cresima Personalizzate, Utili e Moderne | Bomboniere Matrimonio Eleganti, Utili e Originali;(nessuna);Bomboniere Anniversario di Matrimonio Utili e Personalizzate;Bomboniere e Confettate Anniversario > Bomboniere Anniversario di Matrimonio Utili e Personalizzate;https://www.albalu.it/categoria-prodotto/bomboniere-e-confettate-anniversario/bomboniere-anniversario-matrimonio/;Bomboniere Anniversario di Matrimonio Utili e Personalizzate;multievento (Anniversario, Cresima, Matrimonio) -> tema/tipologia;multievento senza categoria tema/tipologia assegnata: valutare di assegnarne una
